track_id,start_frame,end_frame,num_points,detected_points,mean_confidence,start_time,end_time,duration_s,detected_ratio
148,675,675,1,1,0.8528439402580261,2026-06-01 00:00:22.466666667,2026-06-01 00:00:22.466666667,0.0,1.0
144,671,671,1,1,0.8335890769958496,2026-06-01 00:00:22.333333333,2026-06-01 00:00:22.333333333,0.0,1.0
162,711,711,1,1,0.3918269872665405,2026-06-01 00:00:23.666666667,2026-06-01 00:00:23.666666667,0.0,1.0
163,713,713,1,1,0.4735308289527893,2026-06-01 00:00:23.733333333,2026-06-01 00:00:23.733333333,0.0,1.0
169,719,719,1,1,0.4908145666122436,2026-06-01 00:00:23.933333333,2026-06-01 00:00:23.933333333,0.0,1.0
158,707,707,1,1,0.7429089546203613,2026-06-01 00:00:23.533333332,2026-06-01 00:00:23.533333332,0.0,1.0
173,733,733,1,1,0.564378559589386,2026-06-01 00:00:24.400000000,2026-06-01 00:00:24.400000000,0.0,1.0
175,737,737,1,1,0.6752611994743347,2026-06-01 00:00:24.533333332,2026-06-01 00:00:24.533333332,0.0,1.0
179,747,747,1,1,0.3142805695533752,2026-06-01 00:00:24.866666667,2026-06-01 00:00:24.866666667,0.0,1.0
182,761,761,1,1,0.6566518545150757,2026-06-01 00:00:25.333333333,2026-06-01 00:00:25.333333333,0.0,1.0
184,797,797,1,1,0.3195917308330536,2026-06-01 00:00:26.533333332,2026-06-01 00:00:26.533333332,0.0,1.0
187,799,799,1,1,0.2631728947162628,2026-06-01 00:00:26.600000000,2026-06-01 00:00:26.600000000,0.0,1.0
